SJAG_02479	B6K2L2
SJAG_02975	B6K2Z6
SJAG_03620	B6K4Q8
SJAG_00733	B6JWF7
SJAG_02250	B6K1Y8
SJAG_02497	B6K2N0
SJAG_04370	B6K6N3
SJAG_02803	B6K180
SJAG_01895	B6JZ70
SJAG_00945	B6JX19
SJAG_02595	B6K0N7
SJAG_03614	B6K4Q2
SJAG_04819	B6K7U7
SJAG_03009	B6K327
SJAG_00695	B6JWC1
SJAG_03553	B6K4J2
SJAG_05237	B6JY16
SJAG_04979	B6K8A0
SJAG_00044	B6JUV1
SJAG_02184	B6K1S2
SJAG_01488	B6JY29
SJAG_04784	B6K7R8
SJAG_01577	B6JYB6
SJAG_01592	B6JYD2
SJAG_00721	B6JWE5
SJAG_00337	B6JVD0
SJAG_02895	B6K1G6
SJAG_01648	B6JYI7
SJAG_01404	B6JXU1
SJAG_04351	B6K6L6
SJAG_05271	B6K2P1
SJAG_02353	B6K286
SJAG_02217	B6K1V7
SJAG_00455	B6JVP0
SJAG_00825	B6JWP7
SJAG_00659	B6JW87
SJAG_03416	B6K463
SJAG_01240	B6K052
SJAG_03710	B6K4Z5
SJAG_01178	B6JZY9
SJAG_02689	B6K0X1
SJAG_01749	B6JYT1
SJAG_01330	B6K0D7
SJAG_00042	B6JUU9
SJAG_00980	B6JX52
SJAG_04771	B6K7Q5
SJAG_04089	B6K5W3
SJAG_03941	B6K5G6
SJAG_04366	B6K6M9
SJAG_00247	B6JV45
SJAG_04551	B6K747
SJAG_01809	B6JYY6
SJAG_01328	B6K0D5
SJAG_00458	B6JVP3
SJAG_04831	B6K7V8
SJAG_03403	B6K450
SJAG_02333	B6K267
SJAG_02801	B6K178
SJAG_04512	B6K709
SJAG_00922	B6JWZ7
SJAG_06592	T0TB60
SJAG_00160	B6JXM0
SJAG_05311	B6K512
SJAG_03905	B6K5D3
SJAG_03804	B6K538
SJAG_01350	B6K0F7
SJAG_01813	B6JYZ0
SJAG_03537	B6K4H6
SJAG_00859	B6JWT4
SJAG_04463	B6K6W3
SJAG_02688	B6K0X0
SJAG_00107	B6JXG8
SJAG_03948	B6K5H4
SJAG_02741	B6K121
SJAG_03608	B6K4P6
SJAG_05334	B6K776
SJAG_03632	B6K4S0
SJAG_03618	B6K4Q6
SJAG_03519	B6K4G0
SJAG_01646	B6JYI5
SJAG_04377	B6K6P0
SJAG_02023	B6JZI3
SJAG_06636	T0TB01
SJAG_04518	B6K715
SJAG_05283	B6K1J4
SJAG_01936	B6JZA7
SJAG_04281	B6K6E9
SJAG_04758	B6K7P1
SJAG_01647	B6JYI6
SJAG_00909	B6JWY4
SJAG_01790	B6JYW9
SJAG_00876	B6JWV1
SJAG_01630	B6JYG8
SJAG_02197	B6K1T5
SJAG_04199	B6K671
SJAG_02516	B6K2Q0
SJAG_03119	B6K3D5
SJAG_01297	B6K0A4
SJAG_03992	B6K5L6
SJAG_01229	B6K041
SJAG_02603	B6K0P5
SJAG_03437	B6K484
SJAG_03698	B6K4Y3
SJAG_02296	B6K232
SJAG_04880	B6K804
SJAG_05330	B6K6Q4
SJAG_01225	B6K036
SJAG_03393	B6K441
SJAG_02481	B6K2L4
SJAG_01663	B6JYK2
SJAG_03936	B6K5G1
SJAG_03657	B6K4U4
SJAG_01172	B6JZY3
SJAG_03124	B6K3E0
SJAG_01872	B6JZ48
SJAG_05740	T0S0Z5
SJAG_04259	B6K6D0
SJAG_02687	B6K0W9
SJAG_00007	B6JUR8
SJAG_04043	B6K5R7
SJAG_04476	B6K6X6
SJAG_00019	B6JUV9
SJAG_00081	B6JUY2
SJAG_00666	B6JW93
SJAG_02984	B6K305
