Entry	Entry name	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (ORF )
B6K2L2	RSSA3_SCHJY	reviewed	40S ribosomal protein S0-C	rps0c SJAG_02479	rps0c	SJAG_02479
B6K2Z6	RCF1_SCHJY	reviewed	Respiratory supercomplex factor 1, mitochondrial	rcf1 aim31 SJAG_02975	rcf1	SJAG_02975
B6K4Q8	RTC5_SCHJY	reviewed	Restriction of telomere capping protein 5	rtc5 SJAG_03620	rtc5	SJAG_03620
B6JWF7	RS3A_SCHJY	reviewed	40S ribosomal protein S1	rps1 SJAG_00733	rps1	SJAG_00733
B6K1Y8	NOP9_SCHJY	reviewed	Nucleolar protein 9 (Pumilio domain-containing protein nop9)	nop9 SJAG_02250	nop9	SJAG_02250
B6K2N0	NAR1_SCHJY	reviewed	Cytosolic Fe-S cluster assembly factor NAR1 homolog (Nuclear architecture-related protein 1 homolog)	SJAG_02497		SJAG_02497
B6K6N3	MMM1_SCHJY	reviewed	Maintenance of mitochondrial morphology protein 1	mmm1 SJAG_04370	mmm1	SJAG_04370
B6K180	RSSA1_SCHJY	reviewed	40S ribosomal protein S0-A	rps0a SJAG_02803	rps0a	SJAG_02803
B6JZ70	SDHF2_SCHJY	reviewed	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	SJAG_01895		SJAG_01895
B6JX19	UTP25_SCHJY	reviewed	U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25)	utp25 SJAG_00945	utp25	SJAG_00945
B6K0N7	SEY1_SCHJY	reviewed	Protein sey1 (EC 3.6.5.-)	sey1 SJAG_02595	sey1	SJAG_02595
B6K4Q2	MTNA_SCHJY	reviewed	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	mri1 SJAG_03614	mri1	SJAG_03614
B6K7U7	KEX1_SCHJY	reviewed	Pheromone-processing carboxypeptidase kex1 (EC 3.4.16.6) (Carboxypeptidase D)	kex1 SJAG_04819	kex1	SJAG_04819
B6K327	PFF1_SCHJY	reviewed	Vacuolar membrane protease (EC 3.4.-.-) (FXNA-related family protease 1)	SJAG_03009		SJAG_03009
B6JWC1	NAGS_SCHJY	reviewed	Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)	arg2 SJAG_00695	arg2	SJAG_00695
B6K4J2	LIPA_SCHJY	reviewed	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	SJAG_03553		SJAG_03553
B6JY16	SLX1_SCHJY	reviewed	Structure-specific endonuclease subunit slx1 (EC 3.1.-.-)	slx1 SJAG_05237	slx1	SJAG_05237
B6K8A0	RRP36_SCHJY	reviewed	rRNA biogenesis protein rrp36 (Ribosomal RNA-processing protein 36)	rrp36 SJAG_04979	rrp36	SJAG_04979
B6JUV1	PURA_SCHJY	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	SJAG_00044		SJAG_00044
B6K1S2	RSSA2_SCHJY	reviewed	40S ribosomal protein S0-B	rps0b SJAG_02184	rps0b	SJAG_02184
B6JY29	VPS10_SCHJY	reviewed	Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor) (CPY receptor) (Sortilin vps10) (Vacuolar carboxypeptidase sorting receptor vps10)	vps10 SJAG_01488	vps10	SJAG_01488
B6K7R8	ASA1_SCHJY	reviewed	ASTRA-associated protein 1	asa1 SJAG_04784	asa1	SJAG_04784
B6JYB6	GATB_SCHJY	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)	SJAG_01577		SJAG_01577
B6JYD2	ARGJ_SCHJY	reviewed	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	SJAG_01592		SJAG_01592
B6JWE5	COQ4_SCHJY	reviewed	Ubiquinone biosynthesis protein coq4, mitochondrial (Coenzyme Q biosynthesis protein 4)	coq4 SJAG_00721	coq4	SJAG_00721
B6JVD0	ARO1_SCHJY	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	aro1 SJAG_00337	aro1	SJAG_00337
B6K1G6	CFD1_SCHJY	reviewed	Probable cytosolic Fe-S cluster assembly factor SJAG_02895	SJAG_02895		SJAG_02895
B6JYI7	FEN1_SCHJY	reviewed	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	rad2 fen1 SJAG_01648	rad2	SJAG_01648
B6JXU1	ENOPH_SCHJY	reviewed	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	utr4 SJAG_01404	utr4	SJAG_01404
B6K6L6	GUF1_SCHJY	reviewed	Translation factor guf1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase guf1) (Ribosomal back-translocase)	guf1 SJAG_04351	guf1	SJAG_04351
B6K2P1	EFTS_SCHJY	reviewed	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)	tsf1 SJAG_05271	tsf1	SJAG_05271
B6K286	EFGM_SCHJY	reviewed	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	mef1 SJAG_02353	mef1	SJAG_02353
B6K1V7	CCM1_SCHJY	reviewed	Mitochondrial group I intron splicing factor dmr1	dmr1 SJAG_02217	dmr1	SJAG_02217
B6JVP0	DRE2_SCHJY	reviewed	Fe-S cluster assembly protein dre2 (Anamorsin homolog)	dre2 SJAG_00455	dre2	SJAG_00455
B6JWP7	CHO2_SCHJY	reviewed	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17)	cho2 SJAG_00825	cho2	SJAG_00825
B6JW87	MTG1_SCHJY	reviewed	Mitochondrial GTPase 1	mtg1 SJAG_00659	mtg1	SJAG_00659
B6K463	MDM10_SCHJY	reviewed	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component mdm10)	mdm10 SJAG_03416	mdm10	SJAG_03416
B6K052	GET3_SCHJY	reviewed	ATPase get3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	get3 SJAG_01240	get3	SJAG_01240
B6K4Z5	MDM12_SCHJY	reviewed	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component mdm12)	mdm12 SJAG_03710	mdm12	SJAG_03710
B6JZY9	GET1_SCHJY	reviewed	Protein get1 (Guided entry of tail-anchored proteins 1)	get1 SJAG_01178	get1	SJAG_01178
B6K0X1	MTNB_SCHJY	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	mde1 SJAG_02689	mde1	SJAG_02689
B6JYT1	LCL3_SCHJY	reviewed	Probable endonuclease lcl3 (EC 3.1.-.-)	lcl3 SJAG_01749	lcl3	SJAG_01749
B6K0D7	B6K0D7_SCHJY	unreviewed	Spindle checkpoint protein Mad2	SJAG_01330		SJAG_01330
