SJAG_05269	SPAC8C9.09c
SJAG_06642	SPAC212.11
SJAG_05105	SPAC212.11
SJAG_05173	SPAC212.11
SJAG_06597	SPAC212.11
SJAG_04830	SPCC1884.02
SJAG_03086	SPBC1778.08c
SJAG_04823	SPCC757.07c
SJAG_04828	SPCC757.11c
SJAG_00445	SPCC757.11c
SJAG_05290	SPBC1778.10c
SJAG_00751	SPCC613.03
SJAG_00161	SPAC977.05c
SJAG_03150	SPBC4C3.09
SJAG_00752	SPCC613.07
SJAG_03149	SPBC4C3.08
SJAG_01973	SPAC977.11
SJAG_03612	SPCC330.02
SJAG_03146	SPBC4C3.06
SJAG_03166	SPCC330.06c
SJAG_03138	SPBC405.03c
SJAG_03063	SPAC977.15
SJAG_03136	SPBC405.05
SJAG_01941	SPCC320.05
SJAG_01929	SPCC320.04c
SJAG_03132	SPBC609.01
SJAG_03152	SPBC776.03
SJAG_03155	SPBC776.07
SJAG_04905	SPAC1F8.01
SJAG_01940	SPCC1235.06
SJAG_01927	SPCC1235.08c
SJAG_03616	SPCC548.04
SJAG_02178	SPCC794.10
SJAG_03160	SPBC776.12c
SJAG_02620	SPCC553.04
SJAG_02988	SPAC11D3.13
SJAG_03162	SPBC776.14
SJAG_02984	SPAC5H10.03
SJAG_02617	SPCC736.02
SJAG_01749	SPBC19F8.04c
SJAG_00150	SPBC19F8.07
SJAG_02613	SPCC594.01
SJAG_02910	SPBC25H2.14
SJAG_01639	SPBC25H2.08c
SJAG_03863	SPBC460.02c
SJAG_01324	SPCC594.06c
SJAG_01641	SPBC25H2.05
SJAG_02593	SPAC24B11.05
SJAG_01235	SPBC25H2.02
SJAG_05226	SPCC594.07c
SJAG_01759	SPCC1682.05c
SJAG_01333	SPBC20F10.03
SJAG_00758	SPCC1682.07
SJAG_00760	SPCC1682.09c
SJAG_04637	SPBC460.01c
SJAG_05182	SPBC460.05
SJAG_02139	SPBC460.05
SJAG_00766	SPCC1682.16
SJAG_01330	SPBC20F10.06
SJAG_01048	SPCC4G3.09c
SJAG_01045	SPCC4G3.06c
SJAG_04169	SPCC4G3.02
SJAG_01329	SPBC20F10.07
SJAG_01113	SPMTR.01
SJAG_06638	SPMTR.01
SJAG_02314	SPCC364.06
SJAG_05153	SPMTR.04
SJAG_02315	SPCC364.05
SJAG_02629	SPBC17D11.04c
SJAG_02592	SPAC24B11.06c
SJAG_04591	SPAC24B11.07c
SJAG_00940	SPCC364.03
SJAG_01721	SPCC364.03
SJAG_04087	SPBC17D11.08
SJAG_04085	SPBC17D1.02
SJAG_02320	SPCC970.09
SJAG_04597	SPAC24B11.11c
SJAG_00236	SPCC970.04c
SJAG_00235	SPCC970.03
SJAG_04077	SPBC11C11.02
SJAG_01366	SPAC806.03c
SJAG_02894	SPAC806.03c
SJAG_02556	SPCC970.01
SJAG_04076	SPBC11C11.03
SJAG_02559	SPCP31B10.02
SJAG_03335	SPBC11C11.07
SJAG_02597	SPBC11C11.07
SJAG_04647	SPCP31B10.03c
SJAG_01438	SPCP31B10.07
SJAG_05332	SPCP31B10.07
SJAG_00166	SPCP31B10.08c
SJAG_04414	SPCP31B10.08c
SJAG_00250	SPCC962.05
SJAG_01061	SPBC3B8.03
SJAG_02883	SPAC1639.02c
SJAG_01996	SPCC1672.04c
SJAG_02876	SPAC1F5.07c
SJAG_01064	SPBC13A2.01c
SJAG_01065	SPBC13A2.02
SJAG_00159	SPCC1672.08c
SJAG_00287	SPAC1F5.03c
SJAG_00426	SPBC13A2.03
SJAG_00158	SPCC1672.09
SJAG_02526	SPCC1183.04c
SJAG_02529	SPCC1183.12
SJAG_00290	SPAC18B11.10
SJAG_02534	SPCC31H12.03c
SJAG_02539	SPCC31H12.07
SJAG_02551	SPCC16C4.03
SJAG_03787	SPBC4B4.03
SJAG_02553	SPCC16C4.05
SJAG_01823	SPCC16C4.22
SJAG_01174	SPAC12G12.15
SJAG_01480	SPAC12G12.10
SJAG_01478	SPAC12G12.08
SJAG_01268	SPAC630.03
SJAG_03788	SPBC4B4.04
SJAG_03021	SPAC630.05
SJAG_02655	SPBC1718.05
SJAG_04924	SPAC630.12
SJAG_04685	SPBPB7E8.01
SJAG_01825	SPCC16C4.11
SJAG_04918	SPAC1751.02c
SJAG_04274	SPCC16C4.18c
SJAG_04889	SPAC31A2.03
SJAG_04688	SPBC1105.02c
SJAG_04888	SPAC31A2.04c
SJAG_04689	SPBC1105.03c
SJAG_04283	SPCC18B5.06
SJAG_05328	SPCC18B5.10c
SJAG_04291	SPCC14G10.04
SJAG_04294	SPCC1020.11c
SJAG_00796	SPAC31A2.05c
SJAG_04265	SPCC1020.08
SJAG_00797	SPAC31A2.06
SJAG_04262	SPCC1020.05
SJAG_05001	SPBC1105.05
SJAG_01171	SPBC1105.05
SJAG_04243	SPCC1393.12
SJAG_04238	SPCC63.02c
SJAG_00806	SPAC31A2.15c
SJAG_04224	SPCC16A11.02
SJAG_00301	SPBC1105.10
SJAG_04221	SPCC16A11.04
SJAG_04214	SPCC16A11.13
SJAG_00807	SPAC31A2.16
SJAG_03543	SPBC1105.11c
SJAG_00302	SPBC1105.11c
SJAG_00335	SPBC1105.11c
SJAG_00811	SPAC13C5.04
SJAG_04211	SPCC16A11.16c
SJAG_04207	SPCC24B10.04
SJAG_02401	SPAC23E2.02
SJAG_04203	SPCC24B10.10c
SJAG_00544	SPAC24H6.07
SJAG_04342	SPAC24H6.07
SJAG_00304	SPBC1105.14
SJAG_04201	SPCC24B10.12
SJAG_04198	SPCC24B10.15
SJAG_00315	SPBC887.07
SJAG_04197	SPCC24B10.16c
SJAG_00316	SPBC887.08
SJAG_04332	SPAC24H6.05
SJAG_01945	SPBC887.12
SJAG_03774	SPBC887.19
SJAG_04335	SPAC24H6.03
SJAG_04681	SPCPB16A4.03c
SJAG_04181	SPBC16D10.02
SJAG_04183	SPBC16D10.04c
SJAG_04698	SPCC1795.02c
SJAG_04339	SPAPB21F2.03
SJAG_04187	SPBC16D10.08c
SJAG_04699	SPCC1795.01c
SJAG_04189	SPBC16D10.10
SJAG_04701	SPCC895.04c
SJAG_04340	SPAC227.01c
SJAG_06383	SPAC227.19c
SJAG_02861	SPBC16D10.11c
SJAG_04188	SPBC16D10.11c
SJAG_04330	SPAC227.02c
SJAG_01251	SPAC227.04
SJAG_06611	SPBP8B7.05c
SJAG_00530	SPAC227.11c
SJAG_03540	SPCC895.07
SJAG_03541	SPCC895.08c
SJAG_00536	SPAC227.16c
SJAG_00873	SPCC1259.04
SJAG_02389	SPAC2F7.02c
SJAG_00865	SPCC1259.10
SJAG_02660	SPBP8B7.08c
SJAG_01144	SPCC4B3.14
SJAG_02662	SPBP8B7.10c
SJAG_01146	SPCC4B3.12
SJAG_04110	SPCC4B3.04c
SJAG_02665	SPBP8B7.13
SJAG_04112	SPCC4B3.02c
SJAG_04113	SPCC4B3.01
SJAG_02417	SPBP8B7.20c
SJAG_04115	SPCP25A2.03
SJAG_02392	SPAC2F7.03c
SJAG_02416	SPBP8B7.19
SJAG_04116	SPCC550.01c
SJAG_02390	SPAC2F7.05c
SJAG_02418	SPBP8B7.22
SJAG_01112	SPAC2F7.10
SJAG_04118	SPCC550.03c
SJAG_01520	SPAC2F7.15
SJAG_01684	SPCC550.06c
SJAG_00880	SPBC19F5.03
SJAG_03751	SPAC13A11.03
SJAG_00881	SPBC19F5.04
SJAG_00885	SPBC25D12.04
SJAG_00886	SPBC25D12.05
SJAG_03693	SPCC550.11
SJAG_00890	SPBC13G1.02
SJAG_03695	SPCC550.13
SJAG_00894	SPBC13G1.06c
SJAG_00897	SPBC13G1.09
SJAG_03698	SPCC4E9.01c
SJAG_03700	SPCC645.02
SJAG_00902	SPBC31F10.02
SJAG_00505	SPAC3H8.07c
SJAG_00903	SPBC31F10.03
SJAG_00911	SPBC31F10.11c
SJAG_05212	SPAC1F3.09
SJAG_00999	SPAC1D4.08
SJAG_03717	SPCC645.14c
SJAG_06586	SPCC1322.01
SJAG_01088	SPCC1322.05c
SJAG_01229	SPBC21C3.01c
SJAG_00998	SPAC1D4.09c
SJAG_00499	SPBC21C3.07c
SJAG_00997	SPAC1D4.10
SJAG_01083	SPCC1322.06
SJAG_00493	SPBC21C3.09c
SJAG_00489	SPBC21C3.12c
SJAG_00993	SPAC1D4.13
SJAG_01086	SPCC1322.10
SJAG_00482	SPBC21C3.15c
SJAG_00990	SPAC22F3.12c
SJAG_00484	SPBC21C3.17c
SJAG_00989	SPAC22F3.11c
SJAG_00476	SPBC23E6.03c
SJAG_01082	SPCC1322.12c
SJAG_03614	SPBC23E6.10c
SJAG_01075	SPCC132.02
SJAG_00860	SPBC211.01
SJAG_02920	SPCC338.07c
SJAG_02917	SPCC338.04
SJAG_05208	SPBC211.05
SJAG_00986	SPAC22F3.08c
SJAG_00856	SPBC211.06
SJAG_02915	SPCC1281.02c
SJAG_05206	SPBC1604.17c
SJAG_01543	SPCC1281.04
SJAG_00979	SPAC22F3.02
SJAG_05205	SPBC1604.16c
SJAG_03944	SPCC1281.05
SJAG_00976	SPAC1296.02
SJAG_00972	SPAC1296.06
SJAG_00845	SPBC1604.14c
SJAG_03265	SPCC622.11
SJAG_00966	SPAC22G7.04
SJAG_03266	SPCC622.12c
SJAG_00843	SPBC1604.12
SJAG_00836	SPBC1604.07
SJAG_00964	SPAC22G7.06c
SJAG_03267	SPCC622.13c
SJAG_00960	SPAC22G7.11c
SJAG_00959	SPAC4G8.02c
SJAG_00831	SPBC1677.02
SJAG_05322	SPAC4G8.03c
SJAG_00830	SPBC1677.03c
SJAG_00827	SPBC26H8.01
SJAG_00826	SPBC26H8.02c
SJAG_00825	SPBC26H8.03
SJAG_03664	SPCC622.16c
SJAG_04734	SPAC4G8.05
SJAG_03666	SPCC622.18
SJAG_03669	SPCC61.03
SJAG_04735	SPAC4G8.06c
SJAG_03670	SPCC61.04c
SJAG_04009	SPBC32C12.02
SJAG_03672	SPCC11E10.02c
SJAG_03880	SPAC16C9.01c
SJAG_05693	SPBC3B9.04
SJAG_04017	SPBC3B9.16c
SJAG_04014	SPBC3B9.19
SJAG_04013	SPBC215.01
SJAG_03681	SPCC188.02
SJAG_03684	SPCC188.06c
SJAG_04011	SPBC215.03c
SJAG_01697	SPCC584.05
SJAG_00413	SPBC215.09c
SJAG_00402	SPBC1347.06c
SJAG_01699	SPCC1753.02c
SJAG_00390	SPBC56F2.07c
SJAG_03884	SPAC16C9.05
SJAG_03888	SPAC2G11.02
SJAG_00765	SPBC56F2.02
SJAG_00384	SPBC56F2.02
SJAG_03894	SPAC2G11.08c
SJAG_01702	SPCC1753.04
SJAG_03899	SPAC2G11.13
SJAG_03216	SPBC1861.02
SJAG_00406	SPAC521.02
SJAG_01703	SPCC162.12
SJAG_04027	SPAC521.03
SJAG_01492	SPAC521.03
SJAG_03492	SPAC521.03
SJAG_01850	SPAC521.03
SJAG_01690	SPAC521.03
SJAG_04643	SPCC162.06c
SJAG_04642	SPCC162.05
SJAG_00746	SPAC23G3.04
SJAG_02145	SPCC162.03
SJAG_03371	SPCC777.05
SJAG_00739	SPAC23G3.10c
SJAG_00736	SPAC22H12.01c
SJAG_03363	SPCC663.03
SJAG_03211	SPBC1861.07
SJAG_00731	SPAC1687.01
SJAG_03364	SPCC663.04
SJAG_00730	SPAC1687.02
SJAG_03663	SPBC14F5.02
SJAG_00724	SPAC1687.09
SJAG_03662	SPBC14F5.03c
SJAG_03658	SPBC14F5.06
SJAG_03366	SPCC663.05c
SJAG_02853	SPBC14F5.13c
SJAG_00719	SPAC1687.14c
SJAG_03367	SPCC663.10
SJAG_02726	SPCC663.13c
SJAG_03174	SPBC16G5.02c
SJAG_02727	SPCC663.14c
SJAG_03167	SPBC16G5.08
SJAG_00718	SPAC1687.15
SJAG_02728	SPCC663.15c
SJAG_00681	SPAC1687.17c
SJAG_02738	SPCC417.08
SJAG_05342	SPBC1652.02
SJAG_00682	SPAC1687.18c
SJAG_04983	SPBC16A3.17c
SJAG_01336	SPBC16A3.17c
SJAG_01923	SPBC16A3.17c
SJAG_01636	SPBC16A3.17c
SJAG_02740	SPCC191.01
SJAG_02741	SPCC191.02c
SJAG_04387	SPBC16A3.15c
SJAG_00684	SPAC1687.20c
SJAG_02499	SPCC1450.03
SJAG_04790	SPBC16A3.12c
SJAG_00685	SPAC1687.21
SJAG_02495	SPCC1450.06c
SJAG_00688	SPAC222.19
SJAG_01183	SPBC543.05c
SJAG_02503	SPCC1442.07c
SJAG_02302	SPAC222.05c
SJAG_01486	SPBC16C6.04
SJAG_01489	SPBC16C6.07c
SJAG_02506	SPCC1442.10c
SJAG_01490	SPBC16C6.08c
SJAG_01231	SPCC1442.14c
SJAG_03476	SPCC1442.16c
SJAG_01491	SPBC16C6.09
SJAG_00691	SPAC222.08c
SJAG_03479	SPCC285.03
SJAG_01463	SPBC1539.01c
SJAG_01586	SPCC285.10c
SJAG_01455	SPBC1539.09c
SJAG_04943	SPAC222.10c
SJAG_02598	SPAC222.12c
SJAG_01452	SPBC1289.02c
SJAG_01193	SPCC1223.04c
SJAG_01449	SPBC1289.03c
SJAG_01447	SPBC1289.05c
SJAG_02595	SPAC222.14c
SJAG_01446	SPBC1289.06c
SJAG_00664	SPAC821.07c
SJAG_05220	SPCC1223.15c
SJAG_01443	SPBC1289.08
SJAG_01442	SPBC1289.09
SJAG_00668	SPAC821.10c
SJAG_01196	SPCC1223.06
SJAG_01197	SPCC1223.07c
SJAG_00680	SPAC23C4.05c
SJAG_04299	SPCC1223.09
SJAG_03481	SPCC1223.10c
SJAG_01441	SPBC1289.10c
SJAG_04720	SPBC1289.15
SJAG_03483	SPCC1223.12c
SJAG_02366	SPAC23C4.08
SJAG_03484	SPCC1223.13
SJAG_03485	SPCC1223.14
SJAG_03489	SPCC297.06c
