SJAG_03086	HGNC:706
SJAG_04823	HGNC:1516
SJAG_05290	HGNC:8816
SJAG_00751	HGNC:8043
SJAG_00751	HGNC:8044
SJAG_03150	HGNC:4699
SJAG_03150	HGNC:4700
SJAG_03150	HGNC:4701
SJAG_00752	HGNC:26089
SJAG_03149	HGNC:4699
SJAG_03149	HGNC:4700
SJAG_03149	HGNC:4701
SJAG_03146	HGNC:29002
SJAG_03146	HGNC:25180
SJAG_03146	HGNC:25412
SJAG_03166	HGNC:9355
SJAG_03138	HGNC:23617
SJAG_03063	HGNC:25090
SJAG_03136	HGNC:21498
SJAG_03136	HGNC:25464
SJAG_01941	HGNC:10993
SJAG_01941	HGNC:10994
SJAG_01941	HGNC:3018
SJAG_01941	HGNC:8818
SJAG_01941	HGNC:9359
SJAG_01941	HGNC:14472
SJAG_01941	HGNC:14467
SJAG_01941	HGNC:14468
SJAG_01941	HGNC:14469
SJAG_01929	HGNC:21168
SJAG_01929	HGNC:21169
SJAG_03132	HGNC:28648
SJAG_03155	HGNC:1243
SJAG_01940	HGNC:1471
SJAG_01927	HGNC:30055
SJAG_03616	HGNC:28378
SJAG_02178	HGNC:12527
SJAG_03160	HGNC:1745
SJAG_02620	HGNC:28954
SJAG_03162	HGNC:6522
SJAG_03162	HGNC:17163
SJAG_00150	HGNC:1778
SJAG_02910	HGNC:16046
SJAG_01639	HGNC:13785
SJAG_03863	HGNC:3212
SJAG_03863	HGNC:3213
SJAG_01324	HGNC:11443
SJAG_01641	HGNC:7629
SJAG_01235	HGNC:11572
SJAG_01235	HGNC:24728
SJAG_01759	HGNC:11302
SJAG_01333	HGNC:5456
SJAG_00758	HGNC:4656
SJAG_00758	HGNC:31394
SJAG_00760	HGNC:10988
SJAG_00760	HGNC:19954
SJAG_04637	HGNC:11057
SJAG_04637	HGNC:29326
SJAG_04637	HGNC:11060
SJAG_04637	HGNC:11061
SJAG_04637	HGNC:11062
SJAG_05182	HGNC:10929
SJAG_05182	HGNC:10930
SJAG_05182	HGNC:10931
SJAG_05182	HGNC:10932
SJAG_05182	HGNC:10933
SJAG_05182	HGNC:16703
SJAG_05182	HGNC:16704
SJAG_05182	HGNC:20151
SJAG_02139	HGNC:10929
SJAG_02139	HGNC:10930
SJAG_02139	HGNC:10931
SJAG_02139	HGNC:10932
SJAG_02139	HGNC:10933
SJAG_02139	HGNC:16703
SJAG_02139	HGNC:16704
SJAG_02139	HGNC:20151
SJAG_00766	HGNC:9553
SJAG_01330	HGNC:6763
SJAG_01048	HGNC:20310
SJAG_01045	HGNC:16652
SJAG_04169	HGNC:3701
SJAG_01329	HGNC:29305
SJAG_01329	HGNC:29214
SJAG_01329	HGNC:25252
SJAG_02314	HGNC:7637
SJAG_02314	HGNC:7638
SJAG_02314	HGNC:7640
SJAG_02315	HGNC:16836
SJAG_02629	HGNC:1102
SJAG_02629	HGNC:14255
SJAG_02629	HGNC:14256
SJAG_02592	HGNC:6873
SJAG_02592	HGNC:6874
SJAG_02592	HGNC:6875
SJAG_02592	HGNC:6876
SJAG_00940	HGNC:10307
SJAG_01721	HGNC:10307
SJAG_04087	HGNC:30915
SJAG_04085	HGNC:3004
SJAG_02320	HGNC:30389
SJAG_04597	HGNC:17847
SJAG_04597	HGNC:17848
SJAG_00236	HGNC:16015
SJAG_00236	HGNC:29802
SJAG_00236	HGNC:23825
SJAG_00236	HGNC:29800
SJAG_00235	HGNC:13397
SJAG_00235	HGNC:24376
SJAG_00235	HGNC:2873
SJAG_04077	HGNC:9580
SJAG_04077	HGNC:9581
SJAG_01366	HGNC:10414
SJAG_02894	HGNC:10414
SJAG_02556	HGNC:3436
SJAG_04076	HGNC:16909
SJAG_02559	HGNC:27901
SJAG_03335	HGNC:10310
SJAG_02597	HGNC:10310
SJAG_04647	HGNC:24260
SJAG_01438	HGNC:3214
SJAG_05332	HGNC:3214
SJAG_00166	HGNC:10345
SJAG_04414	HGNC:10345
SJAG_00250	HGNC:25021
SJAG_01061	HGNC:17366
SJAG_01996	HGNC:28074
SJAG_02876	HGNC:9280
SJAG_01064	HGNC:31795
SJAG_01064	HGNC:7659
SJAG_01065	HGNC:8067
SJAG_00159	HGNC:4651
SJAG_00426	HGNC:1800
SJAG_00426	HGNC:1801
SJAG_00158	HGNC:6617
SJAG_00158	HGNC:6622
SJAG_00158	HGNC:21773
SJAG_00158	HGNC:23444
SJAG_00158	HGNC:23455
SJAG_02534	HGNC:17011
SJAG_02534	HGNC:24432
SJAG_02539	HGNC:10701
SJAG_02539	HGNC:10702
SJAG_02551	HGNC:8988
SJAG_03787	HGNC:30064
SJAG_01823	HGNC:18755
SJAG_01174	HGNC:21176
SJAG_01480	HGNC:20229
SJAG_01480	HGNC:27723
SJAG_01480	HGNC:26657
SJAG_01268	HGNC:170
SJAG_01268	HGNC:17256
SJAG_01268	HGNC:37282
SJAG_03788	HGNC:3254
SJAG_03021	HGNC:28356
SJAG_02655	HGNC:23067
SJAG_04924	HGNC:15988
SJAG_01825	HGNC:1774
SJAG_04274	HGNC:11540
SJAG_04274	HGNC:17305
SJAG_04889	HGNC:14055
SJAG_04888	HGNC:9539
SJAG_04689	HGNC:14476
SJAG_04283	HGNC:8829
SJAG_05328	HGNC:19072
SJAG_04294	HGNC:28430
SJAG_00796	HGNC:28862
SJAG_04265	HGNC:25598
SJAG_00806	HGNC:24453
SJAG_04224	HGNC:11587
SJAG_00301	HGNC:2937
SJAG_00301	HGNC:2938
SJAG_04221	HGNC:21335
SJAG_04221	HGNC:21883
SJAG_04214	HGNC:21608
SJAG_04214	HGNC:6723
SJAG_03543	HGNC:14456
