#systematic_id	primary_name	product
SJAG_00113	dil1	meiotic dynein intermediate light chain Dli1/Dil1
SJAG_06382	ymr31	mitochondrial alpha-ketoglutarate dehydrogenase Ymr1 (predicted)
SJAG_05629	cox7	cytochrome c oxidase subunit VII Cox7
SJAG_05256		CENP-V, S-(hydroxymethyl)glutathione synthase activity
SJAG_16460		DNA polymerase X family
SJAG_06002		NDUFA4 mitochondrial complex associated
SJAG_03816		transmembrane protein GPR107/GPR108-like
SJAG_03203		transmembrane protein GPR107/GPR108-like
SJAG_02837		BRCT domain protein Brc1-like
SJAG_00675		SEL1 repeat protein
SJAG_00847		mitochondrial PPR repeat protein
SJAG_01845		glutamine synthetase family
SJAG_04365		SERF, N-terminal (4F5-like)
SJAG_04678		aminotransferase, class I/classII
SJAG_00097		aminotransferase, class I/classII
SJAG_01905		cytochrome b5-like heme/steroid binding domain superfamily
SJAG_00510		ING family zinc finger, PHD-type
SJAG_02345		mitochondrial carrier, unknown specificity
SJAG_03650		mitochondrial carrier, unknown specificity
SJAG_02328		HAD-superfamily hydrolase, subfamily IIA
SJAG_03716		WD40/YVTN repeat-like-containing domain superfamily protein
SJAG_01947		MFS transporter superfamily
SJAG_01445		EMP70 family endosomal transport protein/Nonaspanin-like
SJAG_03093		BTB/POZ domain
SJAG_02179		tRNA queuosine modification protein Qtr3
SJAG_06608		chromo/chromo shadow domain family
SJAG_06641		chromo/chromo shadow domain family
SJAG_05161		chromo/chromo shadow domain family
SJAG_04831		DUF4646 family conserved fungal protein
SJAG_01246		cyclophilin-type peptidyl-prolyl cis-trans isomerase
SJAG_03058		actin-like protein
SJAG_00450		protein N-terminal glutamine amidohydrolase, alpha beta roll superfamily
SJAG_05050		retrotransposon gag domain
SJAG_05143		retrotransposon gag domain
SJAG_16458		retrotransposon gag domain
SJAG_04458		Gfo/Idh/MocA-like oxidoreductase, N-terminal
SJAG_02154		Gfo/Idh/MocA-like oxidoreductase, N-terminal
SJAG_02191		Gfo/Idh/MocA-like oxidoreductase, N-terminal
SJAG_02124		cobalamin (vitamin B12) biosynthesis CobW-like protein
SJAG_06431		zinc finger CCHC domain-containing protein
SJAG_01309		GEF Vps domain, PX domain
SJAG_02395		flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain
SJAG_02948		ribonucleoside-triphosphate reductase, anaerobic
SJAG_02459		zinc finger, CCCH-type
SJAG_01953		DEAD/DEAH box helicase
SJAG_01450		zinc finger, MIZ-type
SJAG_04662		UBX domain protein
SJAG_04329		DENN domain
SJAG_03759		histidine phosphatase superfamily protein
SJAG_05231		serine/threonine protein kinase
SJAG_04761		serine/threonine protein kinase
SJAG_00004		serine/threonine protein kinase
SJAG_02249		serine/threonine protein kinase
SJAG_03129		serine/threonine protein kinase
SJAG_02961		NAD-dependent epimerase/dehydratase
SJAG_05242		DNA-binding transcription factor, zf-GATA type
SJAG_02860		PAS domain protein
SJAG_02131
SJAG_01603
SJAG_03860		HECT-type ubiquitin-protein ligase E3 Ptr1-like
SJAG_02118 		plasma membrane ThrE amino acid transmembrane transporter family protein
SJAG_01222		major poly(A) binding protein Pabp/Pab1-related
SJAG_00257		methyltransferase type 11
SJAG_02538
SJAG_00511		Lis1 homology and WD repeat protein
SJAG_03305		glycerol-3-phosphate O-acyltransferase Sct1/Gpt1-like
SJAG_03446		sorting nexin, C-terminal
SJAG_01241		PhoD-like superfamily
SJAG_02666 		GTPase activating protein Gyp1-like
SJAG_02557		HMG-box protein
SJAG_02567		FCP1 homology domain, HAD hydrolase superfamily
SJAG_00013		zinc finger C2H2-type
SJAG_05354		zinc finger C2H2-type
SJAG_00007		zinc finger C2H2-type
SJAG_00012		zinc finger C2H2-type
SJAG_03647		zinc finger C2H2-type
SJAG_01553		zinc finger C2H2-type
SJAG_05358		zinc finger C2H2-type
SJAG_00163		zinc finger C2H2-type
SJAG_02126		CoA-dependent acyltransferase superfamily (predicted)
SJAG_02940		CoA-dependent acyltransferase superfamily (predicted)
SJAG_00021		CoA-dependent acyltransferase superfamily (predicted)
SJAG_02127		CoA-dependent acyltransferase superfamily (predicted)
SJAG_00020		CoA-dependent acyltransferase superfamily (predicted)
SJAG_00075		CoA-dependent acyltransferase superfamily (predicted)
SJAG_01363		CoA-dependent acyltransferase superfamily (predicted)
SJAG_03675		5'-3' exonuclease, C-terminal domain superfamily
SJAG_01968		aspartic peptidase domain superfamily
SJAG_05118		aspartic peptidase domain superfamily
SJAG_03420		aspartic peptidase domain superfamily
SJAG_00254	sxa1	aspartic protease, S. pombe Sxa1-like
SJAG_00109	sxa3	aspartic protease, S. pombe Sxa1-like
SJAG_02260	sxa4	aspartic protease, S. pombe Sxa1-like
SJAG_01096		amino acid/polyamine transporter (predicted)
SJAG_02986		amino acid/polyamine transporter (predicted)
SJAG_02133		amino acid/polyamine transporter (predicted)
SJAG_06598		amino acid/polyamine transporter (predicted)
SJAG_00015		amino acid/polyamine transporter (predicted)
SJAG_04135		amino acid/polyamine transporter (predicted)
SJAG_02113		amino acid/polyamine transporter (predicted)
SJAG_02941		amino acid/polyamine transporter (predicted)
SJAG_00019		amino acid/polyamine transporter (predicted)
SJAG_02957		RTA-like protein
SJAG_02132		RTA-like protein
SJAG_02581		RTA-like protein
SJAG_00018		RTA-like protein
SJAG_00587		RTA-like protein
SJAG_01095		RTA-like protein
SJAG_00589		RTA-like protein
SJAG_02114		RTA-like protein
SJAG_02943		RTA-like protein
SJAG_00242		Aldo-keto reductase family protein
SJAG_03821		Aldo-keto reductase family protein
SJAG_02010		Aldo-keto reductase familiy protein
SJAG_03063		Alpha/Beta hydrolase fold
SJAG_00165		Alpha/Beta hydrolase fold
SJAG_04105		Alpha/Beta hydrolase fold
SJAG_03871		nucleotide-diphospho-sugar transferase, unknown specificity
SJAG_03790		nucleotide-diphospho-sugar transferase, unknown specificity
SJAG_04401		nucleotide-diphospho-sugar transferase, unknown specificity
SJAG_01972		nucleotide-diphospho-sugar transferase, unknown specificity
SJAG_03150		alpha-1,3-galactosyltransferase
SJAG_04095		alpha-1,2-galactosyltransferase
SJAG_16452		flocculin
SJAG_01985		flocculin
SJAG_04448		zinc finger, CCHC-type
SJAG_06639		zinc finger, CCHC-type
SJAG_01362		alcohol dehydrogenase (unknown specificity)
SJAG_02151		alcohol dehydrogenase (unknown specificity)
SJAG_02963		alcohol dehydrogenase (unknown specificity)
SJAG_03196		alcohol dehydrogenase (unknown specificity)
SJAG_03370		alcohol dehydrogenase, Adh1-like
SJAG_01690		short chain dehydrogenase
SJAG_03492		short chain dehydrogenase
SJAG_04027		short chain dehydrogenase
SJAG_05033		short chain dehydrogenase
SJAG_01492		short chain dehydrogenase
SJAG_01850		short chain dehydrogenase
SJAG_04067		histidine phosphatase superfamily protein
SJAG_01970		histidine phosphatase superfamily protein
SJAG_02784		FAD/NAD(P)-binding domain superfamily
SJAG_04633		PI31 proteasome regulator, C-terminal
SJAG_00485		alpha amylase
SJAG_00600		serine/threonine protein phosphatase PP2A catalytic subunit Ppa1/Ppa2
SJAG_04723		cell surface adhesion protein for conjugation
SJAG_02767		conserved fungal multispanning membrane protein
SJAG_02216		UPF0300 family protein
SJAG_00107	mmf1	mitochondrial matrix protein, YjgF family protein Mmf1
SJAG_02988		ThiJ domain protein, implicated in cellular detoxification
SJAG_02794		NADPH-hemoprotein reductase
SJAG_03323	gem2	SMN complex subunit Yip1/Gem2
SJAG_00960		con-6 family conserved fungal protein
SJAG_04295		cysteine transmembrane transporter
SJAG_04743	frp1	plasma membrane ferric-chelate reductase
SJAG_00161		Velum formation protein 1-like conserved fungal family
SJAG_02984		histidine phosphatase superfamily protein
SJAG_03049		WW domain containing conserved fungal protein
SJAG_04242		metal-dependent phosphatase involved in cellular detoxification/metabolite repair (predicted)
SJAG_02973		trans-aconitate 3-methyltransferase
SJAG_03613		zinc finger, RING-type, Rad16-like
SJAG_00500		zinc finger, RING-type, Rad16-like
SJAG_03818		UDP-glucose 4-epimerase/aldose 1-epimerase
SJAG_02951		UDP-glucose 4-epimerase/aldose 1-epimerase
SJAG_04010	spo7a	Arf GEF Spo7
SJAG_02248	spo7b	Arf GEF Spo7
SJAG_03822		alcohol dehydrogenase Adh4-like
SJAG_00240		alcohol dehydrogenase Adh4-like
SJAG_04404		glyoxylase III Sdj1-like
SJAG_02106		glyoxylase III Sdj1-like
SJAG_02952		nucleolar RNA-binding protein NIFK
SJAG_00949		nucleolar RNA-binding protein NIFK
SJAG_04567		heat shock protein Hsp16-family
SJAG_03815		heat shock protein Hsp16-family
